depth	min	max	median	mean
402.5	17929	18626	18280	18277
403.5	17967	18643	18304	18302
404.5	18001	18661	18329	18327
405.5	18026	18683	18355	18352
406.5	18048	18706	18381	18376
407.5	18081	18727	18405	18401
408.5	18125	18741	18429	18426
409.5	18161	18759	18454	18451
410.5	18189	18778	18479	18476
411.5	18213	18804	18505	18500
412.5	18261	18840	18553	18547
413.5	18313	18918	18618	18615
414.5	18347	19052	18677	18683
415.5	18376	19216	18735	18752
416.5	18401	19389	18792	18820
417.5	18457	19512	18860	18893
418.5	18522	19576	18941	18970
419.5	18566	19660	19022	19047
420.5	18602	19772	19099	19124
421.5	18631	19909	19171	19201
422.5	18691	20011	19249	19279
423.5	18768	20065	19336	19358
424.5	18821	20128	19424	19438
425.5	18864	20209	19510	19517
426.5	18904	20321	19591	19596
427.5	18974	20409	19669	19675
428.5	19067	20449	19751	19754
429.5	19133	20499	19837	19832
430.5	19190	20559	19923	19910
431.5	19237	20638	20006	19989
432.5	19334	20707	20087	20068
433.5	19462	20738	20168	20149
434.5	19561	20779	20252	20230
435.5	19642	20832	20342	20311
436.5	19703	20904	20430	20392
437.5	19832	20962	20505	20473
438.5	20031	20990	20571	20553
439.5	20217	21026	20639	20632
440.5	20374	21070	20711	20712
441.5	20493	21131	20788	20792
442.5	20581	21206	20868	20872
443.5	20647	21299	20947	20953
444.5	20689	21439	21023	21034
445.5	20718	21619	21095	21115
446.5	20740	21816	21164	21195
447.5	20797	21952	21240	21276
448.5	20860	22024	21326	21358
449.5	20902	22108	21413	21439
450.5	20940	22222	21497	21520
451.5	20969	22365	21576	21602
452.5	21037	22467	21653	21682
453.5	21117	22516	21739	21761
454.5	21179	22575	21824	21841
455.5	21229	22653	21911	21920
456.5	21269	22754	21994	21999
457.5	21345	22835	22074	22079
458.5	21441	22879	22157	22158
459.5	21511	22926	22244	22238
460.5	21569	22991	22331	22318
461.5	21623	23073	22416	22397
462.5	21720	23138	22496	22477
463.5	21850	23174	22576	22558
464.5	21947	23215	22659	22638
465.5	22022	23269	22746	22719
466.5	22086	23339	22834	22799
467.5	22217	23398	22909	22880
468.5	22424	23430	22975	22961
469.5	22619	23465	23042	23042
470.5	22792	23513	23112	23122
471.5	22920	23574	23190	23203
472.5	22994	23637	23257	23270
473.5	23035	23695	23312	23324
474.5	23063	23772	23365	23378
475.5	23085	23873	23415	23431
476.5	23104	24002	23462	23485
477.5	23137	24093	23512	23537
478.5	23174	24146	23565	23589
479.5	23206	24214	23616	23640
480.5	23229	24294	23666	23691
481.5	23250	24393	23714	23742
482.5	23285	24468	23764	23794
483.5	23329	24516	23817	23845
484.5	23364	24572	23871	23896
485.5	23392	24644	23923	23948
486.5	23417	24720	23975	23999
487.5	23458	24783	24024	24050
488.5	23505	24832	24078	24102
489.5	23544	24885	24131	24153
490.5	23578	24947	24184	24205
491.5	23604	25021	24236	24256
492.5	23646	25087	24288	24308
493.5	23693	25131	24339	24359
494.5	23735	25181	24393	24409
495.5	23770	25241	24447	24460
496.5	23799	25311	24496	24511
497.5	23845	25367	24547	24562
498.5	23898	25406	24598	24612
499.5	23940	25454	24651	24663
500.5	23979	25507	24702	24713
501.5	24013	25570	24755	24764
502.5	24063	25624	24806	24814
503.5	24125	25663	24858	24865
504.5	24170	25708	24910	24916
505.5	24209	25760	24962	24966
506.5	24244	25819	25014	25017
507.5	24292	25868	25065	25068
508.5	24352	25904	25118	25119
509.5	24401	25950	25171	25170
510.5	24443	25999	25224	25222
511.5	24482	26060	25275	25273
512.5	24535	26108	25325	25324
513.5	24594	26141	25376	25375
514.5	24648	26182	25429	25426
515.5	24692	26229	25480	25476
516.5	24732	26282	25532	25527
517.5	24785	26329	25582	25578
518.5	24856	26359	25634	25628
519.5	24913	26395	25686	25679
520.5	24963	26436	25738	25729
521.5	25001	26488	25790	25780
522.5	25060	26531	25841	25830
523.5	25132	26559	25891	25881
524.5	25194	26594	25944	25931
525.5	25246	26633	25997	25982
526.5	25288	26679	26048	26032
527.5	25353	26722	26098	26083
528.5	25431	26750	26148	26134
529.5	25501	26781	26199	26185
530.5	25560	26821	26251	26236
531.5	25607	26866	26305	26287
532.5	25673	26906	26354	26338
533.5	25758	26932	26403	26388
534.5	25830	26962	26451	26439
535.5	25886	26999	26504	26489
536.5	25937	27042	26555	26540
537.5	26018	27082	26603	26590
538.5	26132	27105	26649	26641
539.5	26231	27131	26698	26691
540.5	26312	27163	26749	26741
541.5	26374	27207	26800	26792
542.5	26425	27254	26851	26843
543.5	26467	27316	26901	26894
544.5	26495	27404	26949	26945
545.5	26522	27510	26994	26996
546.5	26542	27629	27038	27047
547.5	26575	27720	27085	27098
