Core ,Depth [cm],Age [ka],Time Interval,Benthic Foraminifera Interval,Fisher Alpha Index,Infaunals[%],Epibenthic[%],Trophic Conditions,Calcareous[%],Porcellaneous[%],Agglutinated[%],Stress Species[%],Oxic species [%],Suboxic species[%],Dysoxic species [%],Ehanced Benthic Foraminifera Oxygen Index,Inferred Dissolve Oxygen Concentration [mL/L],Oxygen Conditions,Mean d13C [o/oo],d18O sw [permil],Average Age [kyrs] Dd13C,Dd13C (9512-29JPC),Average Age [kyrs] BFDR,BFDR,Cibicidoides pachyderma,Planulina arimenensis,Cibicidoides robertsonianus,Lobatula lobatula,Bolivina cff. spathulata ,Uvigerina peregrina,Oridorsalis umbonatus,Nonionella turgida/pulchella,Bolivina subaenariensis var. mexicana,Uvigerina mediterranea,Melonis barleeanus ,Pullenia bulloides / quinqueloba,Cassidulina teretis/laevigata,Quinqueloculina spp.,Triloculina spp.,Pyrgo spp.,Pyrgoella sphaera,Cibicidoides spp.
GeoB9512-5,167.5,12.633,Pleistocene,6,15.9,69.2,30.8,Eutrophic,91.3,8.3,0.4,48.2,23.8,54.5,21.7,31.7,2.6,Low Oxic,,,12.65,-0.75,12.58,-17.7,0.4,5.5,11.5,0,4.3,6.3,5.5,4,1.2,0,10.3,0.4,2,1.6,0,0.4,0,18.5770751
GeoB9512-5,172.5,12.75,Pleistocene,6,15.8,62.9,37.1,Mesotrophic,85,14.6,0.4,45.4,31.3,45.8,22.9,41.9,3.1,High Oxic,-0.1,,,,12.69,0.85,0,8.3,10.8,0,5,6.7,6.7,1.7,0.8,0.4,10.8,0,0,6.3,1.7,1.7,2.1,21.25
GeoB9512-5,177.5,12.86,Pleistocene,6,12.6,58.9,41.1,Mesotrophic,89.4,5.3,5.3,43,29.7,46.5,23.9,33.8,2.7,Low Oxic,-0.17,1.41,12.87,-0.96,12.81,29.09,0.5,13.5,13.5,0,3.9,8.2,6.8,2.4,1,1,5.8,0,2.9,3.4,0,0.5,0.5,30.43478261
GeoB9512-5,182.5,12.97,Pleistocene,6,16.9,63.6,36.4,Mesotrophic,90,9.2,0.8,47.7,27.4,56.3,16.3,39.4,3,Low Oxic,-0.22,,13,-1.03,12.92,-39.09,2.5,7.5,11.7,0,5.4,7.1,5,2.5,0,0,13.4,0.8,0.8,2.9,0,2.1,0,24.26778243
GeoB9512-5,187.5,13.07,Pleistocene,5,13.3,65.6,34.4,Mesotrophic,83,10.9,6.2,43.5,28.4,59,12.6,47.2,3.3,High Oxic,-0.15,0.91,13.05,-0.96,13.02,36,1.1,7.6,10.5,0,2.9,4.3,12.7,11.6,0,2.5,5.1,0,1.4,2.9,1.8,4.3,0.7,19.92753623
GeoB9512-5,192.5,13.18,Younger Dryas,5,12.6,69.4,30.6,Eutrophic,92.2,4.9,2.9,48.2,15.7,67.5,16.8,22.4,2.3,Low Oxic,-0.02,0.69,13.17,-0.84,13.13,6.36,0,6.1,8.2,0.8,3.7,7.3,13.5,5.7,0.8,0.8,5.3,0,0.8,1.6,0.8,2,0,15.10204082
GeoB9512-5,197.5,13.29,Younger Dryas,5,12.3,84,16,Eutrophic,97.4,2.6,0,63.5,8,70.2,21.8,11.2,1.9,Low Oxic,0.09,,13.3,-0.73,13.24,2.73,0.7,4.2,4.2,1,1.6,6.5,15,19.5,0.3,1,1,0.3,1.6,0.7,0,1.6,0,10.09771987
GeoB9512-5,202.5,13.49,Younger Dryas,5,13.5,74.8,25.2,Eutrophic,93.1,5.3,1.6,44.3,15.7,75.6,8.6,25.6,2.4,Low Oxic,0.03,0.95,13.46,-0.78,13.39,-6,0.4,9.3,7.7,0,0.4,3.7,20.7,10.2,0.4,1.2,0.4,0,0.8,0,0.4,3.7,0,17.88617886
GeoB9512-5,207.5,13.72,Younger Dryas,5,9.4,81.5,18.5,Eutrophic,96.7,2.2,1.1,43.1,9.8,85.5,4.7,18.8,2.1,Low Oxic,-0.07,1.38,13.71,-0.85,13.61,17.83,0.4,9.4,5.8,0,0,1.4,31.9,18.5,0,0.4,1.1,0,1.1,0.7,0,1.4,0,15.57971014
GeoB9512-5,212.5,13.96,Younger Dryas,5,12.4,70.5,29.5,Eutrophic,93.7,5.9,0.4,39.4,19.8,73.4,6.8,34,2.7,Low Oxic,0.08,1.47,13.97,-0.67,13.84,-12.5,0,9.1,10.6,1.6,0.4,0,21.3,18.9,0.8,0.8,0.4,0.4,0.8,2.4,0,3.1,0,21.25984252
