Event,Age [ka BP],CO2 [mmol/mol],CO2 std dev [±],Reference
Mauna_Loa,-0.049458,370.33,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.049375,370.77,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.049292,370.96,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.049208,369.6,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.049125,368.98,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.049042,368.12,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.048958,367.08,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.048875,365.52,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.048792,364.35,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.048708,364.01,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.048625,365.79,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.048542,367.74,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.048458,368.95,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.048375,369.49,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.048292,368.61,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.048208,367.13,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.048125,365.98,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.048042,365.18,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.047958,364.33,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.047875,362.44,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.047792,360.71,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.047708,360.31,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.047625,362.2,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.047542,364.34,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.047458,365.59,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.047375,366.69,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.047292,366.25,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.047208,364.47,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.047125,364.09,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.047042,363.04,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.046958,362.18,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.046875,360.84,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.046792,359.54,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.046708,359.6,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.046625,361.38,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.046542,363.53,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.046458,364.93,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.046375,365.16,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.046292,364.51,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.046208,364.17,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.046125,363.17,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.046042,362.04,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.045958,360.61,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.045875,359.4,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.045792,357.97,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.045708,358.11,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.045625,359.11,0.3,Dlugokencky et al. 2016-08-30
Mauna_Loa,-0.045542,361.7,0.3,Dlugokencky et al. 2016-08-30
