"depth_cm","Median Age","Q0.025","Q0.16","Q0.84","Q0.975"
128.5,11661.5062775,11268.1931107625,11460.25998,11861.937776,12081.90063625
129.5,11694.1612375,11302.548007375,11494.96698,11888.677184,12106.21436625
130.5,11727.350395,11329.325476125,11527.7049798,11918.7970976,12133.528814625
131.5,11761.26255,11348.29543175,11557.643702,11950.930346,12169.242085
132.5,11791.348855,11389.1208975,11591.4656,11979.4180536,12199.707788875
133.5,11820.438925,11445.28753875,11633.054582,12002.20298,12217.864135
134.5,11849.2412,11489.604733125,11671.681685,12027.187066,12244.391185275
135.5,11881.20885,11524.49684375,11708.880136,12055.486482,12270.5880175
136.5,11912.504875,11552.638565525,11742.203032,12086.111462,12302.434706375
137.5,11941.10185,11600.65461,11776.027892,12114.4140152,12323.57636125
138.5,11968.24735,11664.945336625,11817.642512,12134.0087502,12340.9142175
139.5,11995.6148625,11720.0030025,11857.02588,12155.933342,12358.5618275
140.5,12024.6829425,11767.338815,11891.2662652,12182.3946288,12379.76410575
141.5,12055.94965,11803.38742625,11925.6656258,12211.79054,12403.55480625
142.5,12082.645445,11829.7822025,11952.54881,12239.732744,12431.3792035
143.5,12104.746729,11845.048157625,11975.114825,12259.9611172,12449.55983625
144.5,12127.6853,11860.87749375,11995.177943,12284.9008626,12476.65925
145.5,12150.49725,11877.889831375,12011.68053,12310.9244042,12508.298014825
146.5,12171.64042,11892.88005075,12027.3903808,12338.9212352,12545.646547875
147.5,12193.9036525,11910.28279475,12047.2531242,12364.2492992,12573.01960875
148.5,12216.3840625,11934.420995,12069.5389876,12386.9004332,12596.47802375
149.5,12239.228225,11951.303096,12089.320181,12410.722462,12620.929373125
150.5,12262.21835,11966.213645,12108.6692052,12437.056814,12646.718950875
151.5,12283.6099975,11981.810077875,12123.753118,12464.7513884,12675.62689125
152.5,12305.5869,12000.436317375,12144.746216,12488.11607408,12700.04087375
153.5,12327.1091875,12021.540618875,12169.1619604,12510.705668,12717.15239275
154.5,12349.8029,12041.668719375,12190.813156,12532.966928,12736.893761875
155.5,12373.3223875,12059.18051625,12209.781195,12556.6723784,12760.34585625
156.5,12396.317648,12073.390326625,12229.4254124,12581.396062,12787.82907175
157.5,12418.170345,12092.775405625,12250.2525682,12604.0113312,12817.3503605
158.5,12439.9313225,12116.89790375,12273.5240242,12624.303108,12834.843746375
159.5,12462.70585,12136.936470625,12294.9105292,12645.060928,12854.23459375
160.5,12486.2218875,12155.67949325,12314.55278118,12668.1077908,12878.0994375
161.5,12509.029965,12170.14606625,12331.316914,12694.416526,12903.786175625
162.5,12529.13883,12190.76328675,12351.98334,12716.094178,12924.8768425
163.5,12550.0123,12215.88096425,12375.6963386,12736.086454,12942.2652
164.5,12571.111175,12237.1611525,12397.988907,12756.293236,12961.6819455
165.5,12592.55221,12256.074272,12418.699232,12779.1595974,12981.8685465
166.5,12615.0858775,12270.4323265,12437.551518,12804.5208792,13007.48895925
167.5,12635.894925,12291.07804375,12459.2209776,12825.129022,13031.9864875
168.5,12656.600175,12318.85543705,12482.17534,12842.918778,13048.232729625
169.5,12679.02684175,12338.759905625,12503.7384958,12862.230662,13066.792215
170.5,12699.83672,12360.524825,12523.8118448,12882.199328,13085.102633125
171.5,12722.97159725,12375.851530875,12542.3625324,12905.0155638,13109.62700375
172.5,12743.8585525,12397.893225875,12563.69555,12925.21506272,13128.97817
173.5,12765.191575,12423.7183125,12591.277906,12943.175946,13143.80976225
174.5,12785.898775,12444.8811325,12614.786179,12962.2313356,13161.154003625
175.5,12809.2847125,12465.591199875,12636.9537572,12981.9979204,13181.677745
176.5,12830.76811,12483.36428525,12656.3700024,13004.907688,13204.3921439
177.5,12850.9581325,12508.24911475,12678.741918,13025.0852476,13225.00542425
178.5,12872.420825,12534.406690625,12704.9942202,13043.450456,13240.2450301375
179.5,12893.6920375,12557.590927625,12730.0860438,13062.54903592,13260.5860175
180.5,12917.12239,12578.66825825,12754.7414036,13083.2586516,13282.51720875
181.5,12939.7638025,12598.527334875,12775.7441272,13106.980998,13306.177724625
182.5,12960.6668775,12625.534503875,12799.120052,13127.5445664,13323.182117375
183.5,12981.962925,12663.5169575,12826.9696796,13144.05415,13339.70076225
184.5,13004.29925,12693.49257625,12853.7582562,13161.7392564,13356.57474375
185.5,13029.12285,12721.24094375,12877.446214,13182.138686,13374.98944
186.5,13053.139695,12743.283341875,12898.2541008,13203.5756794,13401.393871875
187.5,13074.1070875,12774.85551,12924.8347336,13222.9936676,13419.6032125
188.5,13093.899225,12810.229407,12954.351413,13238.779604,13434.05740625
189.5,13114.6947775,12839.9303325,12981.995384,13255.787461,13452.7801608
190.5,13137.1554525,12868.5987525,13006.169984,13274.478058,13469.535063375
191.5,13159.56432,12888.732423375,13027.7388416,13296.61015,13490.96749875
