depth	min	max	median	mean
460.5	21575	23000	22345	22327
461.5	21616	23088	22428	22407
462.5	21714	23157	22508	22487
463.5	21844	23190	22585	22565
464.5	21943	23232	22668	22644
465.5	22021	23282	22753	22723
466.5	22080	23354	22839	22802
467.5	22213	23412	22912	22883
468.5	22420	23445	22977	22964
469.5	22618	23487	23045	23045
470.5	22794	23537	23115	23127
471.5	22925	23597	23191	23208
472.5	22997	23663	23258	23275
473.5	23036	23720	23313	23329
474.5	23062	23798	23364	23382
475.5	23083	23903	23414	23436
476.5	23101	24027	23462	23489
477.5	23136	24117	23512	23541
478.5	23174	24170	23564	23592
479.5	23204	24234	23617	23644
480.5	23228	24316	23667	23695
481.5	23249	24412	23715	23746
482.5	23284	24491	23765	23797
483.5	23327	24538	23819	23847
484.5	23363	24596	23871	23898
485.5	23389	24665	23921	23949
486.5	23412	24747	23971	23999
487.5	23452	24809	24023	24050
488.5	23502	24853	24076	24101
489.5	23539	24904	24129	24152
490.5	23570	24963	24182	24204
491.5	23596	25037	24232	24255
492.5	23639	25098	24283	24306
493.5	23691	25141	24336	24357
494.5	23735	25192	24390	24409
495.5	23767	25249	24443	24460
496.5	23797	25315	24494	24511
497.5	23845	25369	24545	24562
498.5	23901	25413	24597	24613
499.5	23946	25460	24652	24664
500.5	23985	25510	24703	24715
501.5	24015	25576	24755	24765
502.5	24062	25630	24806	24816
503.5	24119	25669	24857	24866
504.5	24166	25713	24909	24916
505.5	24203	25767	24960	24966
506.5	24238	25828	25010	25016
507.5	24288	25882	25060	25067
508.5	24355	25920	25112	25118
509.5	24404	25961	25165	25169
510.5	24450	26005	25217	25220
511.5	24486	26064	25270	25271
512.5	24535	26118	25320	25322
513.5	24595	26149	25373	25373
514.5	24649	26188	25426	25424
515.5	24690	26236	25479	25475
516.5	24730	26295	25532	25526
517.5	24788	26339	25582	25577
518.5	24853	26371	25633	25627
519.5	24906	26407	25685	25677
520.5	24953	26451	25737	25728
521.5	24991	26501	25788	25778
522.5	25049	26546	25840	25829
523.5	25120	26578	25890	25880
524.5	25182	26612	25944	25932
525.5	25234	26653	25998	25983
526.5	25278	26702	26052	26034
527.5	25341	26745	26102	26085
528.5	25418	26773	26151	26136
529.5	25485	26808	26202	26187
530.5	25541	26846	26253	26238
531.5	25591	26895	26306	26289
532.5	25663	26933	26355	26340
533.5	25754	26958	26403	26391
534.5	25829	26988	26452	26442
535.5	25891	27021	26504	26493
536.5	25942	27061	26557	26544
537.5	26023	27098	26606	26595
538.5	26132	27120	26652	26646
539.5	26233	27151	26702	26697
540.5	26316	27187	26753	26747
541.5	26376	27226	26806	26798
542.5	26427	27275	26857	26849
543.5	26468	27336	26906	26900
544.5	26498	27423	26954	26950
545.5	26522	27526	26998	27001
546.5	26545	27641	27041	27052
547.5	26580	27731	27088	27102
