"Median Age [kyrs]","Depth (cm)","Ti/Ca","Fe/Ca","Fe/K","Mn","Total Counts"
11.7738853,132,0.097895408,1.985491071,19.53411765,32.8,4103.9
11.8325626,134,0.103078876,1.991429932,22.856102,38,4114.6
11.89417595,136,0.114002106,1.900661754,19.96445498,17.9,4237
11.9530611,138,0.101568006,1.967582805,17.98389694,17.2,3699.4
12.0090478,140,0.13320173,1.997649934,16.29677914,17.7,3563.7
12.0707393,142,0.132705178,2.020958084,17.85992218,18.5,3786.5
12.115107895,144,0.129748903,1.96396901,17.10569106,15.1,3520.3
12.2039282875,148,0.105418037,2.134585425,18.33680297,30.6,3959.1
12.246592975,150,0.122718877,2.006797192,18.928223,43.8,4474.2
12.286734325,152,0.12835003,2.040842538,17.98867925,38.1,3950.8
12.33188265,154,0.124287524,1.911811273,17.4368231,36.6,4086.8
12.37824727,156,0.120039835,1.7814463,17.12444772,23.5,4029.4
12.422979545,158,0.122191734,1.884582404,17.1703125,37.9,3744.5
12.467849445,160,0.127099949,1.918038351,17.3093415,38.4,3834.2
12.51325785,162,0.128657921,1.871426169,16.85984848,21.7,3791.2
12.55656355,164,0.129160457,1.868107303,17.76614173,30,3847.6
12.599415185,166,0.122399734,1.751040107,16.88924559,20,3662.8
12.64356013,168,0.099344888,1.788788457,17.71018062,35.7,3687.8
12.6894708,170,0.140680141,1.754170677,15.82561505,19.8,3843.3
12.734541435,172,0.102531858,1.900150905,18.65432099,32.5,3797.3
12.7767386175,174,0.127355596,1.893680428,18.00416667,34.5,3678
12.820962805,176,0.12208589,1.940315513,18.58858102,29,3718.2
12.8652541775,178,0.088159873,1.981784419,19.02546689,32.4,3706
12.909814,180,0.105700326,1.910586319,18.41601256,39.5,3932.6
12.952351975,182,0.113854476,1.85613331,17.61175497,28.3,3641
12.994755715,184,0.120081301,1.809756098,17.62470309,13.2,3801.1
13.03966751,186,0.137809793,2.047594546,20.03104027,19.2,3926.8
13.0823088,188,0.146092362,2.21589698,18.37334315,17.4,4017.3
13.1252284475,190,0.148978705,2.182703173,18.56023651,32.2,4072.9
13.1701142025,192,0.171739338,2.501765099,20.37373737,41.1,4083.3
13.2081006825,194,0.146355353,2.763895216,22.91501416,30,3629.9
13.249351034,196,0.137396223,2.545205729,21.08692366,41.7,4271.3
13.315704475,198,0.144357496,2.840918451,22.14365971,33.2,4092.8
13.403365925,200,0.155988858,2.459802132,20.4872,38.1,3997.3
13.4808208175,202,0.180290145,2.727163582,20.49473684,40.5,4153.3
13.572366125,204,0.189777475,2.568555048,18.73352232,41.2,4122.5
