Age [yr BP],NGRIP Depth [m],NGRIP d18O [o/oo]
12720,1521.21,-41.82
12740,1521.82,-41.95
12760,1522.36,-41.06
12780,1522.91,-39.86
12800,1523.44,-40.17
12820,1524.02,-40.36
12840,1524.7,-39.88
12860,1525.3,-38.98
12880,1525.94,-39.81
12900,1526.67,-40.11
12920,1527.42,-39.42
12940,1528.24,-37.79
12960,1528.98,-38.25
12980,1529.76,-39.11
13000,1530.73,-38.96
13020,1531.5,-39.87
13040,1532.26,-39.55
13060,1533.12,-39.49
13080,1533.86,-40.52
13100,1534.55,-39.77
13120,1535.21,-40.57
13140,1535.89,-40.17
13160,1536.56,-41.51
13180,1537.23,-40.08
13200,1537.94,-40.53
13220,1538.64,-40.1
13240,1539.37,-40.58
13260,1540,-39.45
13280,1540.8,-39.3
13300,1541.65,-38.97
13320,1542.48,-39.03
13340,1543.37,-39.35
13360,1544.2,-39.07
13380,1545.02,-38.56
13400,1545.94,-38.36
13420,1546.78,-38.76
13440,1547.75,-38.14
13460,1548.55,-38.56
13480,1549.46,-38.79
13500,1550.33,-38.33
13520,1551.27,-37.74
13540,1552.17,-38.08
13560,1553.16,-38.29
13580,1553.95,-38.99
13600,1554.75,-39.36
13620,1555.5,-39.64
13640,1556.26,-40.05
13660,1557.08,-39.21
13680,1557.89,-39.09
13700,1558.84,-38.67
13720,1559.72,-38.93
13740,1560.62,-37.66
13760,1561.51,-38.45
13780,1562.43,-39.42
13800,1563.36,-38.81
13820,1564.34,-37.86
13840,1565.2,-39.05
13860,1566.16,-37.96
13880,1567.16,-38
13900,1568.06,-38.43
13920,1568.98,-38.21
13940,1569.95,-38.61
13960,1570.75,-38.03
13980,1571.51,-39.99
14000,1572.26,-39.03
14020,1572.97,-39.73
14040,1573.59,-40.21
14060,1574.28,-39.9
14080,1575.03,-40.94
14100,1575.9,-38.05
14120,1576.77,-38.34
14140,1577.59,-38.01
14160,1578.54,-38.68
14180,1579.3,-38.04
14200,1580.19,-37.59
14220,1581.18,-37.46
14240,1582.16,-38.42
14260,1583.16,-37.76
14280,1584.06,-37.19
14300,1585.16,-37.13
14320,1586.22,-37.05
14340,1587.24,-37.54
14360,1588.24,-36.81
14380,1589.2,-37.49
14400,1590.16,-36.07
14420,1591.12,-37.17
14440,1592.08,-37.29
14460,1593.14,-37.04
14480,1594.21,-36.86
14500,1595.05,-36.26
14520,1596.12,-36.11
14540,1597.21,-36.14
14560,1598.32,-36.14
14580,1599.47,-36.98
14600,1600.52,-35.81
14620,1601.4,-36.74
14640,1602.32,-37.48
14660,1603.31,-37.52
14680,1604.17,-37.97
14700,1604.89,-40.64
14720,1605.38,-41.96
14740,1605.96,-42.47
14760,1606.49,-40.81
14780,1607.08,-41.03
14800,1607.68,-39.92
14820,1608.28,-40.68
14840,1608.8,-42.44
14860,1609.36,-40.78
14880,1609.88,-41.18
14900,1610.39,-40.14
14920,1610.9,-41.47
14940,1611.37,-41.76
14960,1611.83,-41.65
14980,1612.3,-40.88
15000,1612.83,-42.61
15020,1613.32,-42.37
15040,1613.72,-41.54
15060,1614.18,-43.17
15080,1614.66,-39.98
15100,1615.13,-43.51
15120,1615.55,-42.76
15140,1615.98,-40.12
15160,1616.39,-42.26
15180,1616.84,-42.99
15200,1617.32,-42.08
15220,1617.73,-40.57
15240,1618.18,-43.57
15260,1618.67,-40.55
15280,1619.12,-44.91
15300,1619.63,-41.99
15320,1620.11,-41.29
15340,1620.56,-42.08
15360,1621.02,-40.75
15380,1621.45,-40.66
15400,1621.92,-40.04
15420,1622.38,-43.26
15440,1622.83,-42.38
15460,1623.27,-42.89
15480,1623.77,-41.61
15500,1624.25,-41.95
15520,1624.71,-43.57
15540,1625.17,-41.88
15560,1625.6,-43.21
15580,1626.03,-44.56
15600,1626.44,-42.31
15620,1626.87,-42.15
15640,1627.34,-42.12
15660,1627.74,-42.2
15680,1628.16,-40.39
15700,1628.56,-43.5
15720,1628.98,-43.08
15740,1629.41,-44.63
15760,1629.81,-42.79
15780,1630.21,-44.02
15800,1630.6,-43.85
15820,1631.06,-40.21
15840,1631.51,-41.7
15860,1631.99,-41.15
15880,1632.52,-40.81
15900,1632.96,-43.15
15920,1633.38,-42.98
15940,1633.83,-41.55
15960,1634.32,-40.53
15980,1634.76,-41.6
16000,1635.26,-41.94
16020,1635.7,-42.3
16040,1636.21,-41.42
16060,1636.66,-41.29
16080,1637.12,-42.99
16100,1637.54,-44.97
16120,1637.99,-43.25
16140,1638.43,-40.35
16160,1638.85,-43.59
16180,1639.3,-41.86
16200,1639.76,-41.64
16220,1640.23,-44.27
