"","Infaunals[%]","Epibenthic[%]","Calcareous[%]","Porcellaneous[%]","Stress Species[%]","Oxic[%]","Suboxic[%]","Dysoxic[%]","EBFOI","Elevated Epifauna"
"16.97",11.789833404528,9.56856044425459,17.9624092268261,3.22511747116617,10.5510465612986,8.65014950875694,9.50448526270824,3.20375907731739,14.0538231524989,11.3199487398548
"17.05",13.8667879063424,8.86565128438282,19.43623550807,3.11434416912935,12.7301659468061,7.18345078426915,11.411684473744,4.13730393271198,11.3434871561719,7.72902932484656
"17.12",17.5826790387818,6.20985010706638,21.2705210563883,2.30787532714728,15.9647870568641,4.87746847489888,14.0375921960504,4.87746847489888,6.68570068998335,5.94813228646205
"17.19",11.244635193133,10.2145922746781,17.4463519313305,3.66952789699571,9.93562231759656,9.2274678111588,9.2274678111588,3.00429184549356,15.3862660944206,10.3004291845494
"17.27",10.2182123373898,10.7637431808645,18.1913554343265,2.68569030633655,9.2740243390684,9.29500629458665,8.51867394041125,3.1682752832564,14.5824590851867,13.2186319765002
"17.39",14.9489322191272,8.26369545032498,18.8486536675952,4.17827298050139,14.3686165273909,6.68523676880223,12.1634168987929,4.36397400185701,10.6545961002785,5.338904363974
"17.51",15.1501047242262,8.12194554340237,19.362345822667,3.4209913893414,13.6374214568303,6.16709332092157,14.4984873167326,2.6064696299744,10.2397021177566,6.28345357225972
"17.64",17.6654632972323,6.40192539109507,21.4921780986763,2.45487364620939,16.3658243080626,4.90974729241877,15.3790613718412,3.77858002406739,8.08664259927798,3.36943441636582
"17.77",22.3007555447234,2.07165488666829,23.397514014136,0.804289544235925,21.8620521569583,1.29173775286376,22.4469900073117,0.609310260784792,3.11966853521813,1.94979283451133
"17.89",16.892668352103,6.09055389565617,19.6506550218341,3.05676855895197,16.3410710181567,5.10227533900253,16.5479200183866,1.35601011261779,9.62997012181108,5.05630889450701
"18.02",20.3846153846154,3.65384615384615,22.6442307692308,1.32211538461538,19.5192307692308,2.40384615384615,19.3990384615385,2.23557692307692,5.24038461538462,3.125
"18.16",18.7058823529412,4.82352941176471,21.6,1.76470588235294,18.1647058823529,3.67058823529412,18.0470588235294,1.78823529411765,7.27058823529412,4
"18.28",20.8153477218225,3.16546762589928,22.4460431654676,1.27098321342926,20.0239808153477,2.20623501199041,20.4796163069544,1.29496402877698,5.39568345323741,2.6378896882494
"18.41",17.6158301158301,6.51544401544402,19.7876447876448,2.87162162162162,15.4198841698842,4.9469111969112,15.3474903474903,3.83687258687259,7.84266409266409,4.34362934362934
"18.56",16.9220055710306,6.29062209842154,20.3574744661096,1.76415970287837,15.8310120705664,4.61931290622098,16.2256267409471,2.36768802228412,7.79944289693593,6.73166202414113
"18.86",15.7028678890456,7.8044193700047,19.2524682651622,2.84438175834509,13.7752703338035,5.57122708039492,14.4334743770569,3.52609308885755,8.62717442407146,7.05218617771509
"19.26",13.3959239752691,9.50309136707122,18.4566063659263,3.54934737806274,11.976185024044,6.04534005037783,14.7240668651248,2.15250744217999,10.831234256927,8.4726356766659
"20.11",12.9908009872111,9.44581557101189,18.2858424949518,2.69239398698676,10.4778999326902,6.48418218532645,13.7536459501907,2.19878842270586,11.1958716625533,10.9939421135293
"20.51",11.0491882723528,13.1814877635086,18.706081899685,4.79767385510056,9.71650109038042,7.14804943057911,14.4172522413375,2.66537436394475,11.2914950327114,6.29997576932397
"20.87",11.520190023753,12.2327790973872,17.6959619952494,5.65320665083135,10.9263657957245,7.50593824228029,13.7767220902613,2.47030878859858,13.0641330166271,4.75059382422803
"21.25",11.5292996665079,12.2915674130538,17.93711291091,5.2882324916627,10.6479275845641,7.81324440209624,14.2210576464983,1.78656503096713,14.7927584564078,3.09671272034302
"21.66",12.3528053567305,10.7365504502424,19.3257908104364,2.93234818748557,10.0900484876472,6.69591318402217,13.8305241283768,2.562918494574,11.152158854768,9.46663588085892
"22.09",12.479665349756,10.7599349291192,18.8937950267255,3.64861724378341,11.5268417383221,5.92609807111318,15.08250058099,2.23100162677202,11.0852893330235,7.66906809202882
"22.51",11.3181818181818,11.4090909090909,17.5681818181818,4.36363636363636,10.3409090909091,7.11363636363636,13.1590909090909,2.43181818181818,12.4090909090909,9.09090909090909
"23.25",15.2954545454545,7.43181818181818,19.1590909090909,2.93181818181818,13.9318181818182,5.90909090909091,13.3181818181818,3.5,9.70454545454546,8.18181818181818
"23.5",10.8932461873638,10.8932461873638,16.3398692810458,4.77124183006536,9.23747276688453,8.25708061002179,10.9803921568627,2.54901960784314,15.3812636165577,10.0217864923747
"23.76",11.7760617760618,9.67395967395967,17.2243672243672,3.53925353925354,9.97425997425997,7.95795795795796,10.3818103818104,3.11025311025311,13.8781638781639,11.7975117975118
"24.01",10.8537108537109,10.5963105963106,17.8035178035178,2.96010296010296,9.82410982410982,7.95795795795796,11.6044616044616,1.86615186615187,13.8352638352638,12.012012012012
"24.26",12.7889392957442,8.81399870382372,18.4057031756319,2.50594080794988,11.2335277597753,7.51782242384964,10.6070425577879,3.47807301793044,12.2920717217542,11.6655865197667
"24.53",10.7636528438704,11.8966689326988,19.2386131883073,3.2404260140494,9.4266938590528,9.26807160661681,8.76954452753229,4.62270564242012,14.4346249716746,8.15771583956492
"24.79",16.8951894027423,6.34441087613293,19.7768998373228,3.46270044155241,15.9191261910295,5.18243086218917,12.8979781547757,5.18243086218917,8.9937253079247,5.3451080641413
"25.05",18.7711659409773,5.418480890179,22.133526850508,1.62070633768747,17.029511369134,3.70101596516691,16.9327527818094,3.58006773101113,5.53942912433478,4.83792936623125
"25.31",16.6020358700921,7.63451284537082,18.5409597673291,5.69558894813379,14.6631119728551,6.61657779932138,15.0508967523025,2.56907416383907,10.4459524963645,2.18128938439166
"25.57",16.5215287856797,7.66811804547654,19.5694242864054,3.99129172714078,13.8848572810837,6.33768746976294,12.9172714078374,4.93468795355588,9.19206579583938,4.35413642960813
"25.84",15.0058616647128,8.44079718640094,18.7104337631887,3.32942555685815,13.2942555685815,6.21336459554514,13.2708089097304,3.96248534583822,9.77725674091442,6.56506447831184
"26.36",14.7058823529412,8.27205882352941,17.3943014705882,3.56158088235294,12.109375,7.26102941176471,12.2472426470588,3.46966911764706,11.3740808823529,7.5827205882353
"26.6",13.6908654894266,8.10987573577502,18.2254196642686,2.79049487682581,11.8596032265097,6.82363200348812,12.4918247220405,2.50708524089819,11.5979943318073,11.1183780248528
"26.85",13.2109270040305,9.18047469771608,18.7416032243618,2.61979399910434,11.576354679803,6.62785490371697,11.8002686968204,3.96327810120914,12.2704881325571,8.95656068069861
"27.08",11.4950021729683,10.2346805736636,17.9269882659713,2.54237288135593,9.03954802259887,7.69230769230769,10.4954367666232,3.541938287701,12.9508909169926,12.8205128205128
