depth	min	max	median	mean
440.5	20370	21078	20712	20714
441.5	20491	21139	20788	20794
442.5	20586	21214	20868	20875
443.5	20656	21304	20950	20958
444.5	20699	21449	21029	21041
445.5	20730	21633	21103	21125
446.5	20756	21840	21175	21208
447.5	20813	21975	21251	21290
448.5	20876	22044	21338	21370
449.5	20924	22119	21425	21450
450.5	20961	22221	21508	21530
451.5	20992	22353	21589	21611
452.5	21055	22448	21667	21691
453.5	21132	22501	21753	21771
454.5	21189	22567	21841	21851
455.5	21236	22644	21929	21931
456.5	21276	22744	22012	22011
457.5	21349	22824	22091	22090
458.5	21449	22866	22172	22169
459.5	21528	22916	22257	22248
460.5	21588	22981	22343	22326
461.5	21638	23066	22428	22405
462.5	21735	23134	22507	22485
463.5	21864	23171	22585	22566
464.5	21966	23214	22668	22646
465.5	22044	23266	22754	22727
466.5	22109	23339	22840	22808
467.5	22237	23397	22913	22888
468.5	22439	23430	22978	22967
469.5	22631	23469	23045	23046
470.5	22799	23517	23115	23125
471.5	22923	23578	23190	23205
472.5	22996	23641	23256	23271
473.5	23037	23697	23309	23324
474.5	23062	23779	23362	23378
475.5	23084	23884	23411	23431
476.5	23102	24010	23459	23484
477.5	23135	24100	23507	23536
478.5	23177	24151	23561	23587
479.5	23203	24215	23614	23639
480.5	23230	24296	23663	23690
481.5	23249	24396	23712	23741
482.5	23287	24470	23762	23792
483.5	23328	24516	23816	23843
484.5	23363	24571	23869	23895
485.5	23391	24638	23920	23946
486.5	23415	24724	23972	23997
487.5	23453	24794	24021	24048
488.5	23502	24843	24072	24098
489.5	23541	24889	24123	24148
490.5	23572	24950	24175	24198
491.5	23596	25024	24224	24248
492.5	23640	25088	24274	24298
493.5	23688	25131	24327	24349
494.5	23728	25177	24380	24400
495.5	23760	25238	24433	24451
496.5	23789	25307	24485	24502
497.5	23834	25364	24536	24554
498.5	23885	25404	24589	24605
499.5	23930	25445	24643	24656
500.5	23968	25495	24697	24707
501.5	24001	25559	24748	24758
502.5	24048	25615	24800	24809
503.5	24103	25653	24850	24859
504.5	24152	25700	24902	24909
505.5	24194	25752	24955	24960
506.5	24228	25813	25005	25010
507.5	24279	25863	25056	25061
508.5	24336	25898	25109	25112
509.5	24385	25939	25162	25163
510.5	24426	25985	25215	25214
511.5	24461	26044	25269	25265
512.5	24515	26095	25321	25316
513.5	24581	26132	25371	25367
514.5	24632	26174	25421	25418
515.5	24680	26221	25474	25468
516.5	24720	26279	25526	25519
517.5	24778	26327	25578	25570
518.5	24848	26356	25629	25621
519.5	24901	26393	25681	25672
520.5	24946	26435	25735	25723
521.5	24988	26489	25788	25773
522.5	25045	26532	25839	25824
523.5	25118	26560	25889	25875
524.5	25180	26598	25941	25926
525.5	25231	26639	25993	25976
526.5	25279	26687	26045	26027
527.5	25340	26727	26095	26078
528.5	25419	26755	26145	26129
529.5	25481	26786	26198	26180
530.5	25535	26824	26248	26231
531.5	25581	26870	26299	26282
532.5	25648	26912	26348	26333
533.5	25735	26938	26397	26383
534.5	25807	26971	26448	26434
535.5	25871	27007	26500	26485
536.5	25920	27049	26552	26535
537.5	26006	27087	26600	26586
538.5	26119	27109	26647	26638
539.5	26227	27138	26695	26689
540.5	26307	27170	26747	26740
541.5	26368	27205	26800	26791
542.5	26422	27256	26850	26842
543.5	26463	27316	26901	26893
544.5	26494	27405	26948	26944
545.5	26517	27505	26994	26995
546.5	26539	27621	27037	27046
547.5	26573	27710	27083	27097
