depth	min	max	median	mean
515.5	24684	26218	25476	25471
516.5	24724	26273	25529	25521
517.5	24779	26319	25579	25572
518.5	24844	26351	25631	25623
519.5	24899	26392	25682	25674
520.5	24942	26440	25735	25725
521.5	24981	26494	25789	25776
522.5	25043	26541	25838	25827
523.5	25114	26571	25889	25878
524.5	25176	26605	25942	25929
525.5	25229	26643	25995	25980
526.5	25275	26695	26048	26031
527.5	25334	26736	26098	26082
528.5	25414	26765	26148	26133
529.5	25482	26793	26198	26184
530.5	25540	26832	26252	26235
531.5	25586	26881	26303	26286
532.5	25659	26918	26351	26337
533.5	25748	26945	26401	26388
534.5	25823	26978	26451	26439
535.5	25885	27013	26503	26490
536.5	25933	27056	26553	26541
537.5	26017	27093	26602	26592
538.5	26134	27118	26648	26642
539.5	26234	27143	26698	26693
540.5	26316	27176	26749	26744
541.5	26377	27218	26801	26795
542.5	26427	27265	26852	26845
543.5	26469	27325	26902	26896
544.5	26498	27414	26950	26946
545.5	26525	27523	26994	26997
546.5	26548	27644	27038	27048
547.5	26582	27734	27084	27098
